model,rank,steps,last_step,best_step,best_score,final_score,score_drop,json_valid,json_keys,safety_risk,postal_terms,next_steps,ceval_acc,adapter
3B,1,8,800,500,3.63125,3.4,0.23125000000000018,1.0,0.3333333333333333,0.0,2.875,3.5,0.5,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_1/best_adapter/qwen2.5-3b-lora-r1
3B,2,8,800,400,3.40625,2.6875,0.71875,1.0,0.3333333333333333,0.0,1.875,3.125,0.5833333333333334,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_2/best_adapter/qwen2.5-3b-lora-r2
3B,4,8,800,200,3.2750000000000004,2.65,0.6250000000000004,1.0,0.3333333333333333,0.0,1.5,2.75,0.25,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_4/best_adapter/qwen2.5-3b-lora-r4
3B,8,8,800,100,3.4,2.675,0.7250000000000001,1.0,0.3333333333333333,0.0,2.0,3.0,0.75,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_8/best_adapter/qwen2.5-3b-lora-r8
3B,16,8,800,400,3.1125,2.59375,0.5187499999999998,1.0,0.3333333333333333,0.0,1.25,2.125,0.0,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_16/best_adapter/qwen2.5-3b-lora-r16
3B,32,8,800,500,2.90625,0.3875,2.51875,1.0,0.3333333333333333,0.0,0.875,1.375,0.16666666666666666,runs/20260703_021130_qwen2.5-3b-lora_rank_sweep/rank_32/best_adapter/qwen2.5-3b-lora-r32
7B,1,10,1000,900,1.5875,1.5625,0.02499999999999991,1.0,0.3333333333333333,0.0,2.25,3.75,0.75,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_1/best_adapter/qwen2.5-7b-lora-r1
7B,2,10,1000,700,1.6124999999999998,1.5875,0.02499999999999991,1.0,0.3333333333333333,0.0,2.25,3.875,0.75,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_2/best_adapter/qwen2.5-7b-lora-r2
7B,4,10,1000,300,1.56875,0.6770833333333335,0.8916666666666666,1.0,0.3333333333333333,0.0,2.125,3.75,0.75,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_4/best_adapter/qwen2.5-7b-lora-r4
7B,8,10,1000,100,1.56875,1.35,0.21875,1.0,0.3333333333333333,0.0,2.125,3.75,0.6666666666666666,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_8/best_adapter/qwen2.5-7b-lora-r8
7B,16,10,1000,200,1.5437500000000002,0.6875,0.8562500000000002,1.0,0.3333333333333333,0.0,2.125,3.625,0.75,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_16/best_adapter/qwen2.5-7b-lora-r16
7B,32,7,700,500,2.50625,0.76875,1.7375,1.0,0.0,0.0,0.875,1.875,0.4166666666666667,runs/20260703_045302_qwen2.5-7b-lora_rank_sweep/rank_32/best_adapter/qwen2.5-7b-lora-r32
